Tonga,Gloss,Type,Status,C1,C2,Vowel,Time,F0,minimal,C1.class,C2.class,C1.class.reg,C2.class.reg
ku-tap-a,take extra cards,A-H-1,ku-,t,p,u,8,148.2652879,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,ku-,t,p,u,9,149.9609605,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,ku-,t,p,u,10,151.9216291,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,stem,t,p,a,1,157.2472405,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,stem,t,p,a,2,159.3540495,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,stem,t,p,a,3,160.3655067,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,stem,t,p,a,4,160.471567,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,stem,t,p,a,5,159.8724864,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,stem,t,p,a,6,158.9245524,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,stem,t,p,a,7,159.2162091,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,stem,t,p,a,8,161.2967936,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,stem,t,p,a,9,165.0934464,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,stem,t,p,a,10,170.0229899,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,FV,t,p,a,1,181.5913098,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,FV,t,p,a,2,188.6789528,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,FV,t,p,a,3,193.3875224,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,FV,t,p,a,4,195.7847091,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,FV,t,p,a,5,196.4090739,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,FV,t,p,a,6,196.646921,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,FV,t,p,a,7,196.5431695,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,FV,t,p,a,8,196.2878522,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,FV,t,p,a,9,196.1635066,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,FV,t,p,a,10,195.6745444,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,ku-,w,k,u,1,151.0390413,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,ku-,w,k,u,2,151.2510517,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,ku-,w,k,u,3,151.3630653,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,ku-,w,k,u,4,151.2675765,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,ku-,w,k,u,5,151.2601613,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,ku-,w,k,u,6,151.3719768,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,ku-,w,k,u,7,151.6118082,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,ku-,w,k,u,8,152.0133522,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,ku-,w,k,u,9,152.6665438,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,ku-,w,k,u,10,153.130729,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,stem,w,k,e,1,154.8939424,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,stem,w,k,e,2,156.4327327,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,stem,w,k,e,3,157.7517774,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,stem,w,k,e,4,158.7895402,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,stem,w,k,e,5,159.4380009,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,stem,w,k,e,6,159.7513756,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,stem,w,k,e,7,160.3638046,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,stem,w,k,e,8,162.5221083,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,stem,w,k,e,9,166.2153204,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,stem,w,k,e,10,171.3606143,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,FV,w,k,a,1,181.2877772,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,FV,w,k,a,2,187.810691,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,FV,w,k,a,3,192.8149704,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,FV,w,k,a,4,196.2144208,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,FV,w,k,a,5,197.7652172,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,FV,w,k,a,6,198.6112556,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,FV,w,k,a,7,199.1270793,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,FV,w,k,a,8,199.1180717,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,FV,w,k,a,9,199.2107904,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ku-wek-a,elude danger,A-H-1,FV,w,k,a,10,199.0730666,no minimal pair,sonorant,voiceless obstruents,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,wa-,k,lw,a,1,155.1925142,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,wa-,k,lw,a,2,156.0216206,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,wa-,k,lw,a,3,156.8390615,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,wa-,k,lw,a,4,157.6370914,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,wa-,k,lw,a,5,158.792579,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ŵa-ku-kolw-a,get drunk,A-H-2,wa-,k,lw,a,6,160.2441967,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
